coll_data,GrBb.dat,GrCs.dat,GrEF1.dat,GrEF2.dat,GrEF3.dat,GrFs.dat,GrGb.dat,GrGd.dat,GrGr.dat,GrHe.dat,GrHr.dat,GrI1.dat,GrI2.dat,GrIm.dat,GrKg.dat,GrKr.dat,GrNBa.dat,GrNBr.dat,GrNFg.dat,GrNKr.dat,GrNLa.dat,GrNPo.dat,GrNSr.dat,GrNZr.dat,GrOk.dat,GrOp.dat,GrOt.dat,GrOy.dat,GrRc.dat,GrSh.dat,GrTCa.dat,GrTCl.dat,GrTDk.dat,GrTDr.dat,GrTFc.dat,GrTFx.dat,GrTGn.dat,GrTGw.dat,GrTIc.dat,GrTKb.dat,GrTKp.dat,GrTLg.dat,GrTLk.dat,GrTMr.dat,GrTMs.dat,GrTMt.dat,GrTNs.dat,GrTPc.dat,GrTPe.dat,GrTPk.dat,GrTPr.dat,GrTSk.dat,GrTSs.dat,GrTYs.dat,GrTZd.dat,GrYt.dat,GrZe.dat
int2,12 | 8380,8 | -18656,4 | -14976,3 | -992,6 | 3680,4 | -21472,6 | -19852,3 | -23896,5 | 24660,1 | 2388,1 | -11904,0 | -4932,1 | 12768,8 | 2784,3 | -18736,6 | -14004,3 | 7796,7 | 24692,1 | -18184,4 | 24520,4 | -8376,5 | -10648,6 | -16688,4 | 27068,0 | -27840,1 | 9792,4 | -26040,1 | 8288,7 | 13832,3 | -31136,1 | 32644,0 | -8860,2 | 30404,2 | 22308,1 | -28028,1 | 17604,0 | -4348,1 | 12196,1 | -15260,1 | -2684,0 | -11132,3 | 30148,0 | -12700,3 | -18140,1 | -19420,0 | -6908,2 | 16548,0 | -572,0 | -5756,1 | 6628,1 | 17572,0 | 26916,1 | -28764,0 | -4316,0 | -12476,2 | -18328,5 | -14164
int2,0 | 729,0 | 60,0 | 39,0 | 87,0 | 38,0 | 46,0 | 76,0 | 22,0 | 160,0 | 11,0 | 13,0 | 96,0 | 46,0 | 738,0 | 75,0 | 102,0 | 26,0 | 109,0 | 48,0 | 342,0 | 16,0 | 456,0 | 480,0 | 177,0 | 22,0 | 14,0 | 70,0 | 22,0 | 175,0 | 98,0 | 138,0 | 67,0 | 58,0 | 40,0 | 77,0 | 73,0 | 34,0 | 15,0 | 257,0 | 100,0 | 67,0 | 94,0 | 57,0 | 90,0 | 119,0 | 73,0 | 76,0 | 88,0 | 101,0 | 83,0 | 101,0 | 2,0 | 73,0 | 125,0 | 50,0 | 54,0 | 37
int2,12 | 14212,8 | -18176,4 | -14664,3 | -296,6 | 3984,4 | -21104,6 | -19244,3 | -23720,5 | 25940,1 | 2476,1 | -11800,0 | -4164,1 | 13136,8 | 8688,3 | -18136,6 | -13188,3 | 8004,7 | 25564,1 | -17800,4 | 27256,4 | -8248,5 | -7000,6 | -12848,4 | 28484,0 | -27664,1 | 9904,4 | -25480,1 | 8464,7 | 15232,3 | -30352,1 | -31788,0 | -8324,2 | 30868,2 | 22628,1 | -27412,1 | 18188,0 | -4076,1 | 12316,1 | -13204,1 | -1884,0 | -10596,3 | 30900,0 | -12244,3 | -17420,1 | -18468,0 | -6324,2 | 17156,1 | 132,0 | -4948,1 | 7292,1 | 18380,0 | 26932,1 | -28180,0 | -3316,0 | -12076,2 | -17896,5 | -13868
int2,0 | 663,0 | 51,0 | 39,0 | 87,0 | 38,0 | 41,0 | 74,0 | 21,0 | 158,0 | 11,0 | 12,0 | 91,0 | 30,0 | 556,0 | 70,0 | 98,0 | 23,0 | 98,0 | 44,0 | 324,0 | 16,0 | 430,0 | 412,0 | 152,0 | 17,0 | 11,0 | 63,0 | 16,0 | 129,0 | 91,0 | 134,0 | 65,0 | 52,0 | 35,0 | 74,0 | 72,0 | 27,0 | 10,0 | 235,0 | 97,0 | 64,0 | 92,0 | 56,0 | 76,0 | 115,0 | 71,0 | 75,0 | 87,0 | 98,0 | 79,0 | 92,0 | 1,0 | 71,0 | 123,0 | 47,0 | 54,0 | 31
int2,0 | 609,0 | 27,0 | 17,0 | 51,0 | 17,0 | 30,0 | 37,0 | 4,0 | 47,0 | 8,0 | 5,0 | 28,0 | 21,0 | 359,0 | 18,0,0 | 6,0 | 74,0 | 19,0 | 126,0 | 3,0 | 144,0 | 137,0 | 46,0 | 17,0 | 6,0 | 48,0 | 12,0 | 78,0 | 42,0 | 42,0 | 18,0 | 22,0 | 11,0 | 23,0 | 18,0 | 9,0 | 7,0 | 75,0 | 20,0 | 20,0 | 30,0 | 16,0 | 33,0 | 36,0 | 17,0 | 21,0 | 17,0 | 26,0 | 21,0 | 21,0 | 1,0 | 18,0 | 40,0 | 12,0 | 19,0 | 18
int2,609 | 14,27 | 6,17 | 8,51 | 21,17 | 1,0,37 | 9,4 | 7,47 | 33,8 | 1,5 | 2,28 | 19,21 | 1,359 | 73,18 | 6,0,6 | 5,74 | 11,19 | 3,126 | 54,3 | 3,144 | 109,137 | 109,46 | 18,0,6 | 1,0,12 | 2,78 | 16,42 | 19,42 | 39,18 | 11,22 | 11,11 | 7,23 | 20,18 | 17,9 | 8,7 | 1,75 | 53,20 | 25,20 | 13,30 | 30,16 | 15,33 | 17,36 | 16,17 | 20,21 | 22,17 | 20,26 | 24,21 | 19,21 | 21,0,18 | 20,40 | 37,12 | 15,19 | 12,0
int2,623 | 5,33 | 9,25 | 6,72 | 5,18 | 10,30 | 5,46 | 11,11 | 5,80 | 39,9 | 1,7 | 3,47 | 22,22 | 4,432 | 63,24 | 7,0,11 | 6,85 | 7,22 | 11,180 | 74,6 | 5,253 | 85,246 | 84,64 | 45,0,7 | 2,48 | 9,14 | 1,94 | 11,61 | 16,81 | 26,29 | 16,33 | 10,18 | 7,43 | 13,35 | 19,17 | 5,8 | 1,128 | 53,45 | 27,33 | 13,60 | 16,31 | 13,50 | 17,52 | 34,37 | 17,43 | 15,37 | 25,50 | 24,40 | 21,42 | 31,0,38 | 17,77 | 22,27 | 10,31 | 12,18 | 3
int2,628 | 35,42 | 9,31 | 8,77 | 10,28 | 10,35 | 6,57 | 11,16 | 5,119 | 39,10 | 1,10 | 2,69 | 22,26 | 4,495 | 58,31 | 8,0,17 | 6,92 | 6,33 | 11,254 | 70,11 | 5,338 | 92,330 | 82,109 | 43,0,9 | 2,57 | 6,15 | 1,105 | 13,77 | 14,107 | 27,45 | 20,43 | 9,25 | 10,56 | 18,54 | 18,22 | 5,9 | 1,181 | 54,72 | 25,46 | 18,76 | 16,44 | 12,67 | 9,86 | 29,54 | 17,58 | 17,62 | 25,74 | 24,61 | 18,73 | 19,0,55 | 16,99 | 24,37 | 10,43 | 11,21 | 5
int2,0,0,0,0,0,0,68 | 6,0,0,0,0,0,0,553 | 3,39 | 31,0 | 98,0,0,0,0,0,0,0,0,0,0,0,0,118 | 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 | 5
int2,12 | 24820,8 | -17360,4 | -14040,4 | 1096,6 | 4592,4 | -20448,6 | -18060,3 | -23384,5 | 28468,1 | 2652,1 | -11608,0 | -2708,1 | 13616,8 | 17584,3 | -17016,6 | -11620,3 | 8372,7 | 27132,1 | -17096,4 | 32440,4 | -7992,5 | -120,6 | -6256,4 | 30916,0 | -27392,1 | 10080,4 | -24472,1 | 8720,7 | 17296,3 | -28896,1 | -29644,0 | -7284,2 | 31700,2 | 23188,1 | -26228,1 | 19340,0 | -3644,1 | 12476,1 | -9444,1 | -332,0 | -9572,3 | 32372,0 | -11348,3 | -16204,1 | -16628,0 | -5188,2 | 18356,1 | 1524,0 | -3380,1 | 8556,1 | 19852,0 | 26948,1 | -27044,0 | -1348,0 | -11324,2 | -17032,5 | -13372
