DataHeader,GrBb.dat,GrCs.dat,GrEF1.dat,GrEF2.dat,GrEF3.dat,GrFs.dat,GrGb.dat,GrGd.dat,GrGr.dat,GrHe.dat,GrHr.dat,GrI1.dat,GrI2.dat,GrIm.dat,GrKg.dat,GrKr.dat,GrNBa.dat,GrNBr.dat,GrNFg.dat,GrNKr.dat,GrNLa.dat,GrNPo.dat,GrNSr.dat,GrNZr.dat,GrOk.dat,GrOp.dat,GrOt.dat,GrOy.dat,GrRc.dat,GrSh.dat,GrTCa.dat,GrTCl.dat,GrTDk.dat,GrTDr.dat,GrTFc.dat,GrTFx.dat,GrTGn.dat,GrTGw.dat,GrTIc.dat,GrTKb.dat,GrTKp.dat,GrTLg.dat,GrTLk.dat,GrTMr.dat,GrTMs.dat,GrTMt.dat,GrTNs.dat,GrTPc.dat,GrTPe.dat,GrTPk.dat,GrTPr.dat,GrTSk.dat,GrTSs.dat,GrTYs.dat,GrTZd.dat,GrYt.dat,GrZe.dat
int2,1 | 148,16256 | 0,1 | 148,1 | 148,1 | 148,1 | 148,1 | 148,1 | 148,1 | 148,1 | 148,1 | 148,1 | 148,1 | 148,10 | 237,2 | 127,1 | 148,1 | 148,1 | 148,2 | 148,1 | 179,1 | 148,1 | 148,1 | 179,1 | 148,1 | 148,1 | 148,1 | 148,1 | 148,16256 | 0,1 | 148,1 | 148,1 | 252,1 | 148,6 | 199,1 | 199,1 | 148,22 | 207,1 | 148,62 | 199,1 | 148,1 | 252,1 | 148,5 | 199,1 | 148,12 | 252,2 | 206,1 | 148,11 | 199,1 | 148,3 | 199,1 | 148,1 | 148,1 | 148,3 | 199,1 | 148,1 | 148,3 | 133
int2,2 | 149,0,2 | 149,2 | 149,2 | 149,2 | 149,2 | 149,2 | 149,2 | 149,2 | 149,2 | 149,2 | 149,2 | 149,11 | 238,3 | 128,2 | 149,2 | 149,2 | 149,3 | 149,2 | 180,2 | 149,2 | 149,2 | 180,2 | 149,2 | 149,2 | 149,2 | 149,2 | 149,0,2 | 149,2 | 149,2 | 253,2 | 149,7 | 200,2 | 200,2 | 149,23 | 199,2 | 149,63 | 200,2 | 149,7 | 199,2 | 149,6 | 200,2 | 149,13 | 253,5 | 204,2 | 149,12 | 200,2 | 149,4 | 200,2 | 149,2 | 149,2 | 149,4 | 200,2 | 149,2 | 149,4 | 135
int2,3 | 150,0,3 | 150,3 | 150,3 | 150,3 | 150,3 | 150,3 | 150,3 | 150,3 | 150,3 | 150,3 | 150,3 | 150,12 | 239,4 | 129,3 | 150,3 | 150,3 | 150,4 | 150,3 | 181,3 | 150,3 | 150,3 | 181,3 | 150,3 | 150,3 | 150,3 | 150,3 | 150,0,3 | 150,3 | 150,3 | 254,3 | 150,8 | 201,3 | 201,3 | 150,24 | 200,3 | 150,64 | 201,3 | 150,8 | 200,3 | 150,7 | 201,3 | 150,14 | 254,23 | 199,3 | 150,13 | 201,3 | 150,5 | 201,3 | 150,3 | 150,3 | 150,5 | 201,3 | 150,3 | 150,5 | 136
int2,4 | 151,0,4 | 151,4 | 151,4 | 151,4 | 151,4 | 151,4 | 151,4 | 151,4 | 151,4 | 151,4 | 151,4 | 151,13 | 240,5 | 134,4 | 151,4 | 151,4 | 151,5 | 151,4 | 148,4 | 151,4 | 151,4 | 182,4 | 0,4 | 151,4 | 151,4 | 151,4 | 151,0,4 | 151,4 | 151,6 | 199,4 | 151,9 | 202,4 | 202,4 | 151,25 | 201,4 | 151,65 | 202,4 | 151,9 | 201,4 | 151,8 | 202,4 | 151,15 | 255,24 | 200,4 | 151,14 | 202,4 | 151,6 | 202,4 | 151,4 | 151,4 | 151,6 | 202,4 | 151,4 | 151,3 | 131
int2,5 | 152,0,5 | 152,5 | 152,5 | 152,5 | 152,5 | 152,5 | 152,5 | 152,5 | 152,5 | 152,5 | 152,5 | 152,14 | 241,6 | 0,5 | 152,5 | 152,5 | 152,6 | 152,5 | 149,5 | 152,5 | 152,5 | 183,5 | 220,5 | 152,5 | 152,5 | 152,5 | 152,0,5 | 152,5 | 152,7 | 200,5 | 152,10 | 203,5 | 203,5 | 152,26 | 202,5 | 152,66 | 203,5 | 152,10 | 202,5 | 152,9 | 203,5 | 152,31 | 199,25 | 201,5 | 152,15 | 203,5 | 152,7 | 203,5 | 152,5 | 152,5 | 152,7 | 203,5 | 152,5 | 152,4 | 132
int2,6 | 127,0,6 | 127,6 | 127,6 | 127,6 | 127,6 | 127,6 | 127,6 | 127,6 | 153,6 | 127,6 | 127,6 | 127,15 | 5,17 | 132,6 | 127,6 | 127,6 | 153,7 | 127,6 | 150,6 | 127,6 | 189,6 | 184,6 | 221,6 | 127,6 | 127,6 | 127,6 | 127,0,6 | 127,6 | 0,8 | 201,6 | 0,11 | 204,6 | 204,6 | 0,27 | 203,6 | 0,67 | 204,6 | 0,11 | 203,6 | 0,10 | 204,6 | 0,32 | 200,26 | 202,6 | 0,16 | 204,6 | 0,8 | 204,6 | 0,6 | 127,6 | 0,8 | 204,6 | 0,6 | 127,16 | 127
int2,7 | 129,16329 | 4059,7 | 128,7 | 128,7 | 128,7 | 128,7 | 128,7 | 128,7 | 128,7 | 127,7 | 0,7 | 128,7 | 128,16 | 6,18 | 133,7 | 128,7 | 128,7 | 127,8 | 0,7 | 151,7 | 128,7 | 153,7 | 148,7 | 222,7 | 137,7 | 137,7 | 128,7 | 128,16329 | 4059,7 | 128,7 | 4,9 | 202,7 | 4,12 | 205,7 | 205,7 | 4,28 | 204,7 | 4,68 | 206,7 | 4,12 | 204,7 | 4,11 | 205,80 | 199,33 | 201,27 | 203,7 | 4,17 | 205,7 | 4,9 | 205,7 | 4,7 | 0,5 | 199,9 | 205,7 | 4,7 | 128,17 | 128
int2,8 | 130,16457 | 4059,8 | 129,8 | 129,8 | 129,8 | 129,8 | 129,8 | 129,8 | 129,8 | 128,8 | 1,8 | 129,8 | 129,17 | 7,20 | 1,8 | 129,8 | 129,8 | 128,,8 | 152,8 | 129,8 | 163,8 | 149,8 | 223,8 | 128,8 | 138,8 | 129,8 | 129,16457 | 4059,8 | 129,6 | 199,10 | 203,5 | 199,13 | 206,8 | 206,1 | 199,29 | 205,1 | 199,69 | 207,15 | 199,13 | 205,1 | 252,12 | 206,81 | 200,34 | 202,28 | 205,12 | 199,18 | 206,2 | 199,10 | 206,9 | 199,8 | 4,6 | 200,10 | 206,39 | 199,8 | 129,18 | 129
int2,9 | 131,16457 | 4059,9 | 130,9 | 130,9 | 130,9 | 130,9 | 130,9 | 130,9 | 130,9 | 129,,9 | 130,9 | 130,,21 | 3,,9 | 130,,,,9 | 130,9 | 164,,,,9 | 139,,9 | 130,,,7 | 200,11 | 204,6 | 200,14 | 207,9 | 207,2 | 200,30 | 206,2 | 200,70 | 208,16 | 200,14 | 206,2 | 253,13 | 207,82 | 201,35 | 203,29 | 207,13 | 200,19 | 207,3 | 200,11 | 207,10 | 200,9 | 199,7 | 201,11 | 207,40 | 200,9 | 130,
int2,10 | 132,16457 | 4059,10 | 131,10 | 131,10 | 131,10 | 131,10 | 131,10 | 131,10 | 131,10 | 0,,10 | 131,10 | 131,,35 | 130,,10 | 131,,,,10 | 131,10 | 165,,,,10 | 140,,10 | 131,,,8 | 201,12 | 205,7 | 201,15 | 208,10 | 208,3 | 201,31 | 208,3 | 201,71 | 205,17 | 201,15 | 207,3 | 254,14 | 208,83 | 202,36 | 204,30 | 208,14 | 201,20 | 208,4 | 201,12 | 208,11 | 201,10 | 200,8 | 202,12 | 208,41 | 201,10 | 131,
